Territorialidades;IDHM Renda 2010
Palestina;0.717
Palmares Paulista;0.698
Palmeira D'Oeste;0.72
Palmital;0.727
Panorama;0.724
Paraguaçu Paulista;0.717
Paraibuna;0.709
Paraíso;0.751
Paranapanema;0.697
Paranapuã;0.712
Parapuã;0.693
Pardinho;0.718
Pariquera-Açu;0.682
Parisi;0.72
Patrocínio Paulista;0.696
Paulicéia;0.692
Paulínia;0.8
Paulistânia;0.683
Paulo de Faria;0.721
Pederneiras;0.738
Pedra Bela;0.671
Pedranópolis;0.698
Pedregulho;0.716
Pedreira;0.75
Pedrinhas Paulista;0.749
Pedro de Toledo;0.654
Penápolis;0.748
Pereira Barreto;0.728
Pereiras;0.717
Peruíbe;0.73
Piacatu;0.681
Piedade;0.694
Pilar do Sul;0.674
Pindamonhangaba;0.745
Pindorama;0.726
Pinhalzinho;0.707
Piquerobi;0.669
Piquete;0.711
Piracaia;0.758
Piracicaba;0.797
Pirajuí;0.734
Piraju;0.74
Pirangi;0.735
Pirapora do Bom Jesus;0.679
Pirapozinho;0.74
Pirassununga;0.789
Piratininga;0.762
Pitangueiras;0.699
Planalto;0.683
Platina;0.691
Poá;0.71
Poloni;0.736
Pompéia;0.75
Pongaí;0.727
Pontalinda;0.677
Pontal;0.718
Pontes Gestal;0.705
Populina;0.699
Porangaba;0.696
Porto Feliz;0.737
Porto Ferreira;0.736
Potim;0.651
Potirendaba;0.737
Pracinha;0.658
Pradópolis;0.738
Praia Grande;0.744
Pratânia;0.681
Presidente Alves;0.711
Presidente Bernardes;0.718
Presidente Epitácio;0.714
Presidente Prudente;0.788
Presidente Venceslau;0.749
Promissão;0.724
Quadra;0.7
Quatá;0.706
Queiroz;0.662
Queluz;0.665
Quintana;0.689
Rafard;0.722
Rancharia;0.72
Redenção da Serra;0.633
Regente Feijó;0.735
Reginópolis;0.715
Registro;0.718
Restinga;0.664
Ribeirão Bonito;0.712
Ribeirão Branco;0.592
Ribeirão Corrente;0.688
Ribeirão dos Índios;0.661
Ribeirão do Sul;0.753
Ribeirão Grande;0.643
Ribeirão Pires;0.749
Ribeirão Preto;0.82
Ribeira;0.635
Rifaina;0.713
Rincão;0.701
Rinópolis;0.696
Rio Claro;0.784
Rio das Pedras;0.741
Rio Grande da Serra;0.684
Riolândia;0.677
Riversul;0.634
Rosana;0.749
Roseira;0.691
Rubiácea;0.684
Rubinéia;0.713
Sabino;0.708
Sagres;0.692
Sales Oliveira;0.738
Salesópolis;0.687
Sales;0.708
Salmourão;0.678
Saltinho;0.771
Salto de Pirapora;0.699
Salto Grande;0.664
Salto;0.755
Sandovalina;0.665
Santa Adélia;0.75
Santa Albertina;0.716
Santa Bárbara D'Oeste;0.752
Santa Branca;0.706
Santa Clara D'Oeste;0.712
Santa Cruz da Conceição;0.83
Santa Cruz da Esperança;0.719
Santa Cruz das Palmeiras;0.746
Santa Cruz do Rio Pardo;0.744
Santa Ernestina;0.716
Santa Fé do Sul;0.763
Santa Gertrudes;0.723
Santa Isabel;0.7
Santa Lúcia;0.696
Santa Maria da Serra;0.688
Santa Mercedes;0.683
Santana da Ponte Pensa;0.751
Santana de Parnaíba;0.876
Santa Rita D'Oeste;0.711
Santa Rita do Passa Quatro;0.764
Santa Rosa de Viterbo;0.746
Santa Salete;0.712
Santo Anastácio;0.725
Santo André;0.819
Santo Antônio da Alegria;0.69
Santo Antônio de Posse;0.718
Santo Antônio do Aracanguá;0.71
Santo Antônio do Jardim;0.703
Santo Antônio do Pinhal;0.685
Santo Expedito;0.664
Santópolis do Aguapeí;0.68
Santos;0.861
São Bento do Sapucaí;0.719
São Bernardo do Campo;0.807
São Caetano do Sul;0.891
São Carlos;0.788
São Francisco;0.705
São João da Boa Vista;0.776
São João das Duas Pontes;0.675
São João de Iracema;0.682
São João do Pau D'Alho;0.714
São Joaquim da Barra;0.74
São José da Bela Vista;0.679
São José do Barreiro;0.666
São José do Rio Pardo;0.744
São José do Rio Preto;0.801
São José dos Campos;0.804
São Lourenço da Serra;0.704
São Luís do Paraitinga;0.691
São Manuel;0.735
São Miguel Arcanjo;0.708
São Paulo;0.843
São Pedro do Turvo;0.661
São Pedro;0.741
São Roque;0.765
São Sebastião da Grama;0.689
São Sebastião;0.747
São Simão;0.732
São Vicente;0.738
Sarapuí;0.699
Sarutaiá;0.679
Sebastianópolis do Sul;0.748
Serra Azul;0.697
Serrana;0.713
Serra Negra;0.764
Sertãozinho;0.768
Sete Barras;0.651
Severínia;0.709
Silveiras;0.657
Socorro;0.737
Sorocaba;0.792
Sud Mennucci;0.743
Sumaré;0.744
Suzanápolis;0.665
Suzano;0.708
Tabapuã;0.726
Tabatinga;0.7
Taboão da Serra;0.742
Taciba;0.682
Taguaí;0.69
Taiaçu;0.701
Taiúva;0.732
Tambaú;0.729
Tanabi;0.735
Tapiraí;0.647
Tapiratiba;0.703
Taquaritinga;0.727
Taquarituba;0.7
Taquarivaí;0.617
Tarabai;0.666
Tarumã;0.738
Tatuí;0.734
Taubaté;0.778
Tejupá;0.668
Teodoro Sampaio;0.699
Terra Roxa;0.732
Tietê;0.764
Timburi;0.688
Torre de Pedra;0.679
Torrinha;0.734
Trabiju;0.666
Tremembé;0.769
Três Fronteiras;0.71
Tuiuti;0.702
Tupã;0.764
Tupi Paulista;0.762
Turiúba;0.713
Turmalina;0.724
Ubarana;0.672
Ubatuba;0.741
Ubirajara;0.689
Uchoa;0.708
União Paulista;0.697
Urânia;0.727
Urupês;0.741
Uru;0.678
Valentim Gentil;0.708
Valinhos;0.848
Valparaíso;0.719
Vargem Grande do Sul;0.721
Vargem Grande Paulista;0.755
Vargem;0.69
Várzea Paulista;0.72
Vera Cruz;0.722
Vinhedo;0.84
Viradouro;0.717
Vista Alegre do Alto;0.726
Vitória Brasil;0.686
Votorantim;0.72
Votuporanga;0.772
Zacarias;0.695
 ;
Elaboração: Atlas do Desenvolvimento Humano no Brasil. Pnud Brasil, Ipea e FJP, 2020.;
Fontes: dados do IBGE e de registros administrativos, conforme especificados nos metadados disponíveis disponíveis em: http://atlasbrasil.org.br/acervo/biblioteca.;
